Title,Note,URL,Tags,Comment,lat,lon
Onori Top rated,"Japanese, $20, 0.5h",https://www.google.com/maps/place/Onori+Top+rated/data=!4m2!3m1!1s0x31da1964194cfac1:0x2e225b3435d5810,,,1.2833074,103.8483624
Gwanghwamun Mijin,"Korean, $40, 1.5h",https://www.google.com/maps/place/Gwanghwamun+Mijin/data=!4m2!3m1!1s0x31da199e0badf3d5:0x8cb9d5aa15a0b2fa,,,1.2831505,103.8488031
Mega Adventure - Singapore,"Activity, $30, 2h",https://www.google.com/maps/place/Mega+Adventure+-+Singapore/data=!4m2!3m1!1s0x31da1bfbef3a1ba7:0x4473f101106492d6,,,1.2559413,103.8122967
Wild Wild Wet,"Waterpark, $50, 4h",https://www.google.com/maps/place/Wild+Wild+Wet/data=!4m2!3m1!1s0x31da3db15183fc2b:0xb94e26060c533c72,,,1.3775946,103.9544243
Science Centre Singapore,"Museum, $10, 2h",https://www.google.com/maps/place/Science+Centre+Singapore/data=!4m2!3m1!1s0x31da1004147cad63:0x18e02380e45f8dce,,,1.3331687,103.7356443
DOPA DOPA (South Bridge Rd),"Cafe, $20, 1h",https://www.google.com/maps/place/DOPA+DOPA+(South+Bridge+Rd)/data=!4m2!3m1!1s0x31da19d45f0f3d4b:0x5f2e6bc59b3b37bd,,,1.287803,103.8486477
Genki Sushi 313@somerset,"Restaurant, $30, 1h",https://www.google.com/maps/place/Genki+Sushi+313@somerset/data=!4m2!3m1!1s0x31da19dc20287abd:0x62b30f7ab0f1fa9f,,,1.3009665,103.8384727
MUSEUM OF ICE CREAM SINGAPORE,"Museum, $50, 3h",https://www.google.com/maps/place/MUSEUM+OF+ICE+CREAM+SINGAPORE/data=!4m2!3m1!1s0x31da1b355492a4ff:0x9d4acefb3db83467,,,1.30273,103.812423
Adventure Cove Waterpark,"Waterpark, $100, 4h",https://www.google.com/maps/place/Adventure+Cove+Waterpark/data=!4m2!3m1!1s0x31da1bfdc5e1404b:0x3062eba361bde102,,,1.2587643,103.8196847
Universal Studios Singapore,"Theme park, $100, 5h",https://www.google.com/maps/place/Universal+Studios+Singapore/data=!4m2!3m1!1s0x31da1955a615a343:0x3094037d34e6529f,,,1.2540421,103.8238084
Good Bites,"Cafe, $30, 2h",https://www.google.com/maps/place/Good+Bites/data=!4m2!3m1!1s0x31da172a10a45b51:0x80558c3ee2c43396,,,1.3555789,103.8513296
Creamier Handcrafted Ice Cream and Coffee (Tiong Bahru),"Cafe, $20, 1h",https://www.google.com/maps/place/Creamier+Handcrafted+Ice+Cream+and+Coffee+(Tiong+Bahru)/data=!4m2!3m1!1s0x31da197a52a7e699:0xc041ade54980faa5,,,1.2828794,103.8303658
Dumpling Darlings,"Chinese, $20, 1h",https://www.google.com/maps/place/Dumpling+Darlings/data=!4m2!3m1!1s0x31da192966f0f017:0x551bf09b78c8ecc0,,,1.2874665,103.8488116
La Table d’Emma,"French, $60, 1.5h",https://www.google.com/maps/place/La+Table+d%E2%80%99Emma/data=!4m2!3m1!1s0x31da19001e6b38f3:0x38d0fb575344aa0d,,,1.2829829,103.8468773
Scarpetta,"Italian, $50, 2h",https://www.google.com/maps/place/Scarpetta/data=!4m2!3m1!1s0x31da19b6ee6fb76b:0x6fd03cb7399fe9bb,,,1.2803939,103.8469458
Suju Masayuki Mandarin Gallery,"Japanese, $50, 1.5h",https://www.google.com/maps/place/Suju+Masayuki+Mandarin+Gallery/data=!4m2!3m1!1s0x31da199173123853:0xc0b2f77ca5b9272f,,,1.3021058,103.836588
Hvala 111 Somerset,"Matcha, $20, 1h",https://www.google.com/maps/place/Hvala+111+Somerset/data=!4m2!3m1!1s0x31da19043e28ca35:0x9c40d9c5f9a28732,,,1.3003565,103.8379819
Le Ruby Ice Cream Cafe & Bakery,"Cafe, $20, 0.5h",https://www.google.com/maps/place/Le+Ruby+Ice+Cream+Cafe+%26+Bakery/data=!4m2!3m1!1s0x31da17114cf93ff1:0x8820ae6c6a67cb15,,,1.3345245,103.8494652
Burnt Cones Gelato (Sunset Way),"Dessert, $15, 0.5h",https://www.google.com/maps/place/Burnt+Cones+Gelato+(Sunset+Way)/data=!4m2!3m1!1s0x31da1b5f46d0ce2b:0xb08bce57c9280de3,,,1.3223786,103.7701533
Citrus Kitchen,"Restaurant, $30, 2h",https://www.google.com/maps/place/Citrus+Kitchen/data=!4m2!3m1!1s0x31da1b223f1bd3bf:0x13d273dc45c0b5a7,,,1.2881638,103.7830724
Keef The Beef Bungalow,"Restaurant, $100, 2h",https://www.google.com/maps/place/Keef+The+Beef+Bungalow/data=!4m2!3m1!1s0x31da1b252354612d:0x5b319b660baf6047,,,1.3045767,103.787518
The House Bar,"Bar, $100, 1.5h",https://www.google.com/maps/place/The+House+Bar/data=!4m2!3m1!1s0x31da197a81f146cf:0xfce55cab6c03c7c,,,1.3046549,103.8249313
beGIN,"Bar, $60, 1.5h",https://www.google.com/maps/place/beGIN/data=!4m2!3m1!1s0x31da19bacb5a7809:0xaa06a22c438aa79b,,,1.2858968,103.8499393
Woofie's Warehouse Thrift Store Haji Lane,"Thrift, $30, 0.5h",https://www.google.com/maps/place/Woofie's+Warehouse+Thrift+Store+Haji+Lane/data=!4m2!3m1!1s0x31da19ba57156de1:0x6acb8769eb108aad,,,1.3014983,103.8582975
THE CARTEL'S VINTAGE STORE,"Thrift, $50, 0.5h",https://www.google.com/maps/place/THE+CARTEL'S+VINTAGE+STORE/data=!4m2!3m1!1s0x31da19a9b6711b3d:0xe819565b59b1d77b,,,1.301061,103.8589726
National Gallery Singapore,"Museum, $20, 2h",https://www.google.com/maps/place/National+Gallery+Singapore/data=!4m2!3m1!1s0x31da19a747de0c15:0xe5639e25fabece80,,,1.2902217,103.8515167
National Museum of Singapore,"Museum, $24, 2h",https://www.google.com/maps/place/National+Museum+of+Singapore/data=!4m2!3m1!1s0x31da19a311be5b0f:0x92e311597c4db868,,,1.296613,103.8485091
Station by Kotuwa,"Dinner, $60, 2h",https://www.google.com/maps/place/Station+by+Kotuwa/data=!4m2!3m1!1s0x31da196aa2cab63b:0x923ccee05a0687b3,,,1.2814005,103.8485518
Binge,"Cafe, $20, 1h",https://www.google.com/maps/place/Binge/data=!4m2!3m1!1s0x31da193b927893b7:0x21d5d3107a8eb4b,,,1.2842914,103.832981
Birds of Paradise Gelato Boutique (Craig),"Gelato, $10, 0.5h",https://www.google.com/maps/place/Birds+of+Paradise+Gelato+Boutique+(Craig)/data=!4m2!3m1!1s0x31da1991d139fd97:0xe3fc86d12d611868,,,1.2777662,103.84228
The Populus,"Cafe, $50, 1h",https://www.google.com/maps/place/The+Populus/data=!4m2!3m1!1s0x31da196db97648e3:0x3b53f4f43ac0f403,,,1.2782503,103.8406393
Bonjour Ma Cuisine,"French, $50, 1h",https://www.google.com/maps/place/Bonjour+Ma+Cuisine/data=!4m2!3m1!1s0x31da19e61f08563f:0x5480b74e8db66054,,,1.2782117,103.8420005
The Plump Frenchman,"French, $80, 2h",https://www.google.com/maps/place/The+Plump+Frenchman/data=!4m2!3m1!1s0x31da19e621a3a443:0x6256679834e5912c,,,1.2995094,103.8565633
New2U by SCWO,"Thrift, $20, 0.5h",https://www.google.com/maps/place/New2U+by+SCWO/data=!4m2!3m1!1s0x31da19bb419a99eb:0xd67c9b3776d7dc2c,,,1.2995559,103.8515784
Cherry Thrift Shop,"Thrifting, $40, 0.5h",https://www.google.com/maps/place/Cherry+Thrift+Shop/data=!4m2!3m1!1s0x31da194a5215b14f:0x5fe12e4895c02011,,,1.2924498,103.8503048
TEMPT,"Western Food, $100, 2h",https://www.google.com/maps/place/TEMPT/data=!4m2!3m1!1s0x31da191f955acec7:0xcce78611ae92dd9c,,,1.2963027,103.855095
Hello Arigato Everton Park,"Matcha, $15, 0.5h",https://www.google.com/maps/place/Hello+Arigato+Everton+Park/data=!4m2!3m1!1s0x31da19b976a28685:0xb5c438cbf6c7826,,,1.2768625,103.8400932
