,Title,Note,URL,Tags,Comment,lat,lng
0,Singapore Art Museum at Tanjong Pagar Distripark,"Museum, $0, 1h",https://www.google.com/maps/place/Singapore+Art+Museum+at+Tanjong+Pagar+Distripark/data=!4m2!3m1!1s0x31da190b4b2f2d3d:0x301402de71935aba,,,1.2719533,103.836752
1,Moon Rooftop Bar & Lounge Pte. Ltd.,"Bar, $25, 1h",https://www.google.com/maps/place/Moon+Rooftop+Bar+%26+Lounge+Pte.+Ltd./data=!4m2!3m1!1s0x31da19f80295a7fb:0x255dc8273cb0675e,,,1.2741592,103.8447546
2,ALLY Singapore - Maxwell,"Fitness, $30, 1.5h",https://www.google.com/maps/place/ALLY+Singapore+-+Maxwell/data=!4m2!3m1!1s0x31da1961ae30cedd:0x6ebe630376b09362,,,1.2775878,103.845288
3,Revolution Tanjong Pagar,"Fitness, $30, 1.5h",https://www.google.com/maps/place/Revolution+Tanjong+Pagar/data=!4m2!3m1!1s0x31da19fdd4f151cd:0x4b52d3fc13f969,,,1.2786632,103.8474008
4,R10T,"Fitness, $30, 1.5h",https://www.google.com/maps/place/R10T/data=!4m2!3m1!1s0x31da19ccc3c244f5:0x42b22a993be6587d,,,1.2784458,103.848261
5,Lab Studios - Stanley Street | Pilates & Barre,"Fitness, $30, 1.5h",https://www.google.com/maps/place/Lab+Studios+-+Stanley+Street+%7C+Pilates+%26+Barre/data=!4m2!3m1!1s0x31da190ad4539e01:0x693c9e4f6770fc9d,,,1.2800476,103.8478249
6,Absolute Boutique Fitness Studio @ Raffles Place,"Fitness, $30, 1.5h",https://www.google.com/maps/place/Absolute+Boutique+Fitness+Studio+@+Raffles+Place/data=!4m2!3m1!1s0x31da19627b2abd49:0xd57d4791cf1d7fc,,,1.2838533,103.8519697
7,ALLY Singapore - Cross Street,"Fitness, $30, 1.5h",https://www.google.com/maps/place/ALLY+Singapore+-+Cross+Street/data=!4m2!3m1!1s0x31da19a6e7cc7e69:0x710968c5e944213d,,,1.2822647,103.8488918
8,"Love, Bonito Funan - Women's Fashion & Clothing","Shopping, $50, 0.5h","https://www.google.com/maps/place/Love,+Bonito+Funan+-+Women's+Fashion+%26+Clothing/data=!4m2!3m1!1s0x31da1957856e25e5:0x875ba51f0b437eb6",,,1.2911354,103.8501524
9,Angel Republic,"Shopping, $30, 0.5h",https://www.google.com/maps/place/Angel+Republic/data=!4m2!3m1!1s0x31da19aee7671579:0x451d2ce05c72be49,,,1.2827558,103.8465745
10,bookstore bommoi,"Cafe, $10, 0.5h",https://www.google.com/maps/place/bookstore+bommoi/data=!4m2!3m1!1s0x31da198cfda4e071:0x3107527e5292df34,,,1.2793996,103.8424524
11,Books Kinokuniya Singapore Main Store,"Shopping, $15, 0.5h",https://www.google.com/maps/place/Books+Kinokuniya+Singapore+Main+Store/data=!4m2!3m1!1s0x31da1991f17e993b:0x3f3e660ed88690d5,,,1.3024048,103.8347024
12,Littered with Books,"Shopping, $15, 0.5h",https://www.google.com/maps/place/Littered+with+Books/data=!4m2!3m1!1s0x31da196d5e2f11cd:0xf022711eb7b2dcee,,,1.2795368,103.8434565
13,The Bookstore by Books Beyond Borders,"Shopping, $15, 0.5h",https://www.google.com/maps/place/The+Bookstore+by+Books+Beyond+Borders/data=!4m2!3m1!1s0x31da19afee495ef7:0x9c24c7b815089b7d,,,1.2807689,103.8454104
14,Sparkle Please | Crystal Workshops SG,"Shopping, $20, 1h",https://www.google.com/maps/place/Sparkle+Please+%7C+Crystal+Workshops+SG/data=!4m2!3m1!1s0x31da179b5a56ae69:0x311551e4634ba003,,,1.2775952,103.8437654
15,The Telegraph by Olivia,"Western, $50, 1.5h",https://www.google.com/maps/place/The+Telegraph+by+Olivia/data=!4m2!3m1!1s0x31da19fa12bf62bf:0x70bc5ee041bba9c9,,,1.2968398,103.8574827
16,L'éclair Pâtisserie (Café),"Cafe, $20, 1h",https://www.google.com/maps/place/L'%C3%A9clair+P%C3%A2tisserie+(Caf%C3%A9)/data=!4m2!3m1!1s0x31da199804a12a3d:0xf4785b1517e9d0ff,,,1.298267,103.844008
17,Ah Chew Desserts,"Cafe, $5, 0.5h",https://www.google.com/maps/place/Ah+Chew+Desserts/data=!4m2!3m1!1s0x31da199dadcf6969:0x12aec2ec574e31be,,,1.2980222,103.8563056
18,DORS at Design Orchard,"Shopping, $50, 1h",https://www.google.com/maps/place/DORS+at+Design+Orchard/data=!4m2!3m1!1s0x31da1991407459dd:0xf37792a225453d44,,,1.302084,103.8377866
19,The Pinnacle Sky Garden 50th Storey Skybridge,"Museum, $0, 0.5h",https://www.google.com/maps/place/The+Pinnacle+Sky+Garden+50th+Storey+Skybridge/data=!4m2!3m1!1s0x31da196c6560d613:0x3f1008a5eb73ee96,,,1.2757339,103.8412111
20,Red Dot Design Museum,"Museum, $0, 1h",https://www.google.com/maps/place/Red+Dot+Design+Museum/data=!4m2!3m1!1s0x31da1912c68752ab:0xfafa51da63b1f3ed,,,51.487872,7.045149599999999
21,Christmas Wonderland,"Theme Park, $0, 1h",https://www.google.com/maps/place/Christmas+Wonderland/data=!4m2!3m1!1s0x31da19030466802b:0x8098abdb7a1a6282,,,25.7317275,-80.3200768
22,"TRIFECTA - Surf, Snow, Skate in Orchard Road","Theme Park, $40, 2h","https://www.google.com/maps/place/TRIFECTA+-+Surf,+Snow,+Skate+in+Orchard+Road/data=!4m2!3m1!1s0x31da19245a0efd35:0x6129c32ce8c841b4",,,1.2996972,103.8390203
23,Fort Canning Centre,"Museum, $0, 1.5h",https://www.google.com/maps/place/Fort+Canning+Centre/data=!4m2!3m1!1s0x31da19a24404dbb9:0x9cd813ac454e800c,,,1.2952779,103.8468705
24,GX-5 Extreme Swing,"Theme Park, $30, 0.5h",https://www.google.com/maps/place/GX-5+Extreme+Swing/data=!4m2!3m1!1s0x31da19a0440a5a87:0xf69476c1b8a8cc2f,,,1.2903349,103.8469959
25,NearesTTen Curated Thrift Store,"Thrift, $30, 1h",https://www.google.com/maps/place/NearesTTen+Curated+Thrift+Store/data=!4m2!3m1!1s0x31da19e55044cb2f:0x541b4f3279e44a5b,,,1.283456,103.844085
26,A_Livehouse,"Bar, $40, 1.5h",https://www.google.com/maps/place/A_Livehouse/data=!4m2!3m1!1s0x31da19bd50c5b3b5:0xe36aff9c754bcb5f,,,1.2924719,103.8564428
27,Kyuukei Coffee | Maxwell,"Cafe, $10, 1h",https://www.google.com/maps/place/Kyuukei+Coffee+%7C+Maxwell/data=!4m2!3m1!1s0x31da190d531f50c3:0x33f45389ff2465c3,,,1.2805585,103.8451894
28,SuperPark Singapore,"Theme Park, $50, 2h",https://www.google.com/maps/place/SuperPark+Singapore/data=!4m2!3m1!1s0x31da193f907e7fc3:0xddbe9e5d41cd7585,,,1.2961791,103.8586032
29,SBCD Korean Tofu House (Millenia Walk),"Korean, $25, 1.5h",https://www.google.com/maps/place/SBCD+Korean+Tofu+House+(Millenia+Walk)/data=!4m2!3m1!1s0x31da19aed4eaf83b:0xed5724e01f2531a5,,,1.293696,103.8594063
30,Glasshouse,"Cafe, $20, 1h",https://www.google.com/maps/place/Glasshouse/data=!4m2!3m1!1s0x31da19a4418be899:0x9c4b2fe5f78e38f4,,,54.9677847,-1.602003
31,Paperbakes @ Raffles City,"Cafe, $20, 0.5h",https://www.google.com/maps/place/Paperbakes+@+Raffles+City/data=!4m2!3m1!1s0x31da1952f15bf453:0x7c853fede18205d7,,,1.2938627,103.8533285
32,Shu Yan Sichuan Cuisine,"Chinese, $20, 1.5h",https://www.google.com/maps/place/Shu+Yan+Sichuan+Cuisine/data=!4m2!3m1!1s0x31da199f29e541e9:0x9404fdf8d522dc97,,,1.2857163,103.8452531
33,Bullock Cart Coffee (Chinatown),"Cafe, $10, 0.5h",https://www.google.com/maps/place/Bullock+Cart+Coffee+(Chinatown)/data=!4m2!3m1!1s0x31da1994dbb5693d:0x57063951f9a3d0fe,,,1.2848315,103.8460407
34,The Trend cafe-bistro,"Cafe, $15, 1.5h",https://www.google.com/maps/place/The+Trend+cafe-bistro/data=!4m2!3m1!1s0x31da1923a54705db:0x9b895355b1ec387b,,,1.2844382,103.8455113
